condition	image_index	key_press	response_time	response_corr	stimulus_side	prioritization_cue
2	32	2	0.471903976314934	1	0	76
4	48	1	0.435903443900315	1	1	76
1	29	2	0.547883956038277	1	0	74
3	51	1	0.278340207865767	1	1	75
1	14	1	0.320365962792494	1	0	74
3	64	2	0.253626697847722	1	1	75
4	56	2	0.500077431473983	1	0	76
3	71	2	0.451763013366872	1	0	74
4	39	1	0.32851485224819	1	1	76
3	48	1	0.778781161483494	1	0	74
3	56	2	0.461894987467531	1	1	75
4	68	2	0.527006017029635	1	1	76
3	67	2	0.512568237993037	1	1	75
2	5	1	0.435824328105809	1	1	76
3	46	1	0.412438520435899	1	1	75
3	38	1	0.446366612139173	1	0	74
2	21	2	0.430313848373771	1	1	76
1	10	1	0.400102472369326	1	1	75
2	12	1	0.373719972385516	1	1	76
2	9	1	0.378364564583535	1	1	76
4	40	1	0.584428491636572	1	0	76
3	70	2	0.404976328703924	1	1	75
1	12	1	0.375369947194486	1	1	75
3	40	1	0.470487156744639	1	1	75
1	15	1	0.523842937733207	1	0	74
4	71	2	0.510244047345623	1	1	76
4	50	1	0.391885923982045	1	1	76
3	68	2	0.59059632410208	1	1	75
3	63	2	0.463464891121475	1	0	74
2	16	1	0.677238754300561	1	1	76
3	45	1	0.401636109641913	1	0	74
4	61	2	0.671164432722435	1	1	76
1	6	1	0.718702391510305	1	1	75
3	53	1	0.351581002258172	1	1	75
4	55	2	0.520950260299287	1	0	76
3	43	1	0.468600996411624	1	0	74
2	11	1	0.537220905975119	1	0	76
3	50	1	0.468611438202061	1	0	74
1	8	1	0.33050048203404	1	1	75
4	42	1	0.392039465843482	1	0	76
3	42	1	0.429847945913934	1	0	74
4	70	2	0.627360674723604	1	1	76
1	30	2	0.368148981508057	1	1	75
4	49	1	0.399418598432021	1	1	76
1	27	2	0.394642813338578	1	0	74
4	47	1	0.401843567176911	1	0	76
2	2	1	0.393507641018005	1	1	76
2	30	2	0.306889323721407	1	1	76
1	2	1	0.229438434602343	1	1	75
1	17	1	0.460086589499042	1	0	74
2	35	1	0.436640661288038	0	0	76
3	57	2	0.345772459992077	1	1	75
2	28	2	0.451449174943264	1	1	76
4	67	2	0.429940827356404	1	0	76
1	1	1	0.410093632795906	1	0	74
1	16	1	0.467889832500077	1	0	74
4	46	1	0.431787056604662	1	1	76
4	69	2	0.700005757042163	1	1	76
1	34	2	0.483136525746886	1	1	75
3	39	1	0.61993244804944	1	1	75
4	58	2	0.556114588529454	1	0	76
3	54	1	0.620332706794215	1	1	75
2	22	2	1.08174881233026	1	1	76
4	37	1	0.611365175367609	1	0	76
1	25	2	0.360225114289278	1	1	75
2	1	1	0.377732899605689	1	0	76
2	4	1	0.45178551160825	1	1	76
1	11	1	0.479910517051394	1	0	74
1	36	2	0.563083120099691	1	0	74
1	35	2	0.478537823197257	1	1	75
1	32	2	0.343731785018463	1	0	74
2	25	2	0.428563871699225	1	0	76
3	69	2	0.43303937503515	1	0	74
2	29	2	0.37220969666123	1	1	76
3	59	2	0.815785459362814	1	0	74
2	20	2	0.418287986465657	1	1	76
2	19	2	0.361792507635982	1	0	76
4	53	1	0.333033523451377	1	0	76
2	10	1	0.371152990788687	1	0	76
2	23	2	0.514210681876648	1	0	76
1	21	2	0.432285187558591	1	0	74
1	23	2	0.284288531320271	1	1	75
4	64	2	0.304940674350291	1	1	76
1	28	2	0.315614867799013	1	1	75
4	60	2	0.527153577937497	1	1	76
3	61	2	0.341487068424613	1	1	75
2	31	2	0.407192899481743	1	0	76
2	13	1	0.468442008495913	1	0	76
4	43	1	0.473838384843475	1	0	76
4	66	1	0.407743095094702	0	1	76
2	27	2	0.490198147745105	1	0	76
1	13	1	0.326247241831879	1	0	74
1	19	2	0.318845608513584	1	1	75
3	37	1	0.496516043960582	1	1	75
1	20	2	0.319409880765306	1	0	74
4	44	1	0.462691837763487	1	0	76
2	18	1	0.461380998525783	1	0	76
2	6	1	0.640644691715352	1	0	76
4	41	1	0.375806790772913	1	0	76
2	15	1	0.415369387412284	1	1	76
1	33	1	0.360632403890122	0	1	75
3	55	2	0.468235742673642	1	0	74
4	62	2	0.638210311177318	1	1	76
3	62	2	0.369967363491014	1	0	74
4	52	1	0.337434570865298	1	1	76
2	7	1	0.436222987120345	1	1	76
1	22	2	0.433577563955623	1	0	74
4	65	2	0.438585685762519	1	1	76
4	72	2	0.543818232707054	1	0	76
4	54	2	0.486238193274403	0	0	76
1	31	1	0.344392740254989	0	1	75
1	4	1	0.268190420270912	1	1	75
3	47	1	0.414284796954234	1	1	75
2	8	1	0.397695461415424	1	0	76
1	7	1	0.353231847839197	1	0	74
2	14	1	0.642565384352565	1	1	76
3	72	2	0.684217894349786	1	0	74
4	38	1	0.555293993542364	1	0	76
3	44	1	0.521558441816524	1	0	74
2	34	2	0.364253974137682	1	0	76
1	3	1	0.28687666519545	1	1	75
3	41	1	0.388611846221465	1	1	75
3	60	2	0.444994361132558	1	0	74
2	3	1	0.389400916797968	1	0	76
4	59	2	0.437603346248579	1	0	76
1	24	2	0.344491027946788	1	0	74
3	52	1	0.435525108690854	1	0	74
2	24	2	0.342943107534666	1	0	76
1	9	1	0.387164410331025	1	0	74
3	65	2	0.462444832282927	1	0	74
1	18	1	0.335106603555687	1	0	74
1	26	2	0.268191915511125	1	1	75
3	66	2	0.40164204084067	1	1	75
4	51	1	0.346516588815575	1	0	76
4	63	2	0.418208375574977	1	1	76
4	45	1	0.432813758186967	1	1	76
1	5	1	0.410144809269696	1	1	75
3	49	1	0.488449673772266	1	1	75
2	36	2	0.342021408536311	1	1	76
2	26	2	0.411309030519988	1	1	76
2	17	1	0.40126495954064	1	0	76
3	58	2	0.60263374985152	1	0	74
4	57	2	0.547393196788107	1	0	76
2	33	2	0.387642938978388	1	1	76
